"Infrastructure
ID",WBS,Category,Subcategory,Project Name,Identified Project funding,Project Description,Project Priority,Project Cost Estimate,Funding Status (%),Funding Phase,Funding Needed,Quadrant(s),NE Quadrant,NW Quadrant,SE Quadrant,SW Quadrant,Quadrant Factor,Quadrant Funding Estimated,CD,CD 1,CD 2,CD 3,CD 4,CD 5,CD 6,CD 7,CD 8,CD 9,CD 10,CD 11,CD 12,CW,CD Funding Factor,CD Funding Estimated,NPU 1,NPU 2,NPU 3,NPU 4,NPU 5,Neighborhood 1,Neighborhood 2,Neighborhood 3,Neighborhood 4,Neighborhood 5,Neighborhood 6,Neighborhood 7,Neighborhood 8,Neighborhood 9,Neighborhood 10,Neighborhood 11,Corridor 1,Corridor 2,Corridor 3,Secondary Corridor 1,Secondary Corridor 2,Secondary Corridor 3,Regional Employment Center,Priority and Sub Cat,"Bond Tranche/
Funding Tier"
R2,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 2,,Resurfacing projects in Council District 2.,High,"$1,425,000",0%,,"$1,425,000","NE, NW",NE,NW,,,0.500,"$712,500",,,2,,,,,,,,,,,,1.000,"$1,425,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,5
R3,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 3,,Resurfacing projects in Council District 3.,high,"$1,825,000",0%,,"$1,825,000","NW, SW",,NW,,SW,0.500,"$912,500",,,,3,,,,,,,,,,,1.000,"$1,825,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,4
I1,1.3.4,Roadway,Roadway Resurfacing,Atlanta Industrial Drive,LMIG 2013,Resurfacing from Atlanta Industrial Parkway to cul-de-sac,High,"$320,000",100%,,$0,NW,,NW,,,1.000,"$320,000",,,,,,,,,,9,,,,,1.000,$0,G,,,,,Atlanta Industrial Park,,,,,,,,,,,,,,,,,,High Roadway Resurfacing,3
I2,1.3.4,Roadway,Roadway Resurfacing,Atlanta Industrial Parkway,LMIG 2013,Resurfacing from Donald L Hollowell Parkway to Dead End,High,"$960,800",100%,,$0,NW,,NW,,,1.000,"$960,800",,,,,,,,,,9,,,,,1.000,$0,G,,,,,Atlanta Industrial Park,,,,,,,,,,,,,,,,,,High Roadway Resurfacing,3
R3,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 3,,Resurfacing projects in Council District 3.,High,"$1,825,000",0%,,"$1,825,000","NW, SW",,NW,,SW,0.500,"$912,500",,,,3,,,,,,,,,,,1.000,"$1,825,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,5
R4,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 4,,Resurfacing projects in Council District 4.,high,"$2,175,000",0%,,"$2,175,000",SW,,,,SW,1.000,"$2,175,000",,,,,4,,,,,,,,,,1.000,"$2,175,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,4
R4,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 4,,Resurfacing projects in Council District 4.,high,"$2,175,000",0%,,"$2,175,000",SW,,,,SW,1.000,"$2,175,000",,,,,4,,,,,,,,,,1.000,"$2,175,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,5
R5,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 5,,Resurfacing projects in Council District 5.,high,"$1,450,000",0%,,"$1,450,000","NE, SE",NE,,SE,,0.500,"$725,000",,,,,,5,,,,,,,,,1.000,"$1,450,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,4
R9,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 9,,Resurfacing projects in Council District 9.,Medium,"$3,287,500",0%,,"$3,287,500",NW,,NW,,,1.000,"$3,287,500",,,,,,,,,,9,,,,,1.000,"$3,287,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,3
R9,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 9,,Resurfacing projects in Council District 9.,Medium,"$3,287,500",0%,,"$3,287,500",NW,,NW,,,1.000,"$3,287,500",,,,,,,,,,9,,,,,1.000,"$3,287,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,4
R9,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 9,,Resurfacing projects in Council District 9.,Medium,"$3,287,500",0%,,"$3,287,500",NW,,NW,,,1.000,"$3,287,500",,,,,,,,,,9,,,,,1.000,"$3,287,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,5
I25,1.3.4,Roadway,Roadway Resurfacing,Defoors Place,,Resurfacing from Hills Avenue to Defoors Ferry Road,Medium,"$257,000",0%,,"$257,000",NW,,NW,,,1.000,"$257,000",,,,,,,,,,9,,,,,1.000,"$257,000",D,,,,,Underwood Hills,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,6
I26,1.3.4,Roadway,Roadway Resurfacing,Elaine Avenue,,Resurfacing from Ellsworth Industrial Boulevard to Marietta Boulevard,Medium,"$96,000",0%,,"$96,000",NW,,NW,,,1.000,"$96,000",,,,,,,,,,9,,,,,1.000,"$96,000",D,,,,,Blandtown,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,6
I29,1.3.4,Roadway,Roadway Resurfacing,Hills Place,,Resurfacing from Hills Avenue to cul-de-sac,Medium,"$91,300",0%,,"$91,300",NW,,NW,,,1.000,"$91,300",,,,,,,,,,9,,,,,1.000,"$91,300",D,,,,,Underwood Hills,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,6
I30,1.3.4,Roadway,Roadway Resurfacing,Huber Street,,Resurfacing from Chattahoochee Avenue to Glidden Street,Medium,"$139,400",0%,,"$139,400",NW,,NW,,,1.000,"$139,400",,,,,,,,,,9,,,,,1.000,"$139,400",D,,,,,Blandtown,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,6
C43,1.3.4,Roadway,Roadway Resurfacing,Huff Road,,Resurfacing from Howell Mill Road to Marietta Boulevard,Medium,"$319,100",0%,,"$319,100",NW,,NW,,,1.000,"$319,100",,,,,,,,,,9,,,,,1.000,"$319,100",D,G,,,,Blandtown,Hills Park,Rockdale,,,,,,,,,,,,Huff Road NW,,,,Medium Roadway Resurfacing,6
I33,1.3.4,Roadway,Roadway Resurfacing,Morris Street,,Resurfacing from Howell Mill Road to Old Chattahoochee Avenue,Medium,"$125,300",0%,,"$125,300",NW,,NW,,,1.000,"$125,300",,,,,,,,,,9,,,,,1.000,"$125,300",D,,,,,Berkeley,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,6
R9,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 9,,Resurfacing projects in Council District 9.,low,"$3,287,500",0%,,"$3,287,500",NW,,NW,,,1.000,"$3,287,500",,,,,,,,,,9,,,,,1.000,"$3,287,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,low Roadway Resurfacing,6
C65,1.3.4,Roadway,Roadway Resurfacing,Northwest Drive,,Resurfacing from Bolton Road to Hamilton E. Holmes Drive,Medium,"$347,000",0%,,"$347,000",NW,,NW,,,1.000,"$347,000",,,,,,,,,,9,,,,,1.000,"$347,000",G,,,,,Monroe Heights,Carey Park,,,,,,,,,,,,,Northwest Drive,,,,Medium Roadway Resurfacing,6
I34,1.3.4,Roadway,Roadway Resurfacing,Old Chattahoochee Avenue,,Resurfacing from Bowen Street to Howell Mill Road,Medium,"$81,200",0%,,"$81,200",NW,,NW,,,1.000,"$81,200",,,,,,,,,,9,,,,,1.000,"$81,200",D,,,,,Berkeley,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,6
I35,1.3.4,Roadway,Roadway Resurfacing,Old Chattahoochee Avenue,,Resurfacing from Ellsworth Industrial Boulevard to Huber Street,Medium,"$51,500",0%,,"$51,500",NW,,NW,,,1.000,"$51,500",,,,,,,,,,9,,,,,1.000,"$51,500",D,,,,,Blandtown,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,6
I37,1.3.4,Roadway,Roadway Resurfacing,Peyton Road,,Resurfacing from Bolton Road to Hollywood Road,Medium,"$123,500",0%,,"$123,500",NW,,NW,,,1.000,"$123,500",,,,,,,,,,9,,,,,1.000,"$123,500",D,,,,,Riverside,,,,,,,,,,,,,,Peyton Road,,,,Medium Roadway Resurfacing,6
I38,1.3.4,Roadway,Roadway Resurfacing,Seaboard Industrial Boulevard,,Resurfacing from Hills Avenue to cul-de-sac,Medium,"$119,800",0%,,"$119,800",NW,,NW,,,1.000,"$119,800",,,,,,,,,,9,,,,,1.000,"$119,800",D,,,,,Underwood Hills,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,6
R9,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 9,,Resurfacing projects in Council District 9.,low,"$3,287,500",0%,,"$3,287,500",NW,,NW,,,1.000,"$3,287,500",,,,,,,,,,9,,,,,1.000,"$3,287,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,low Roadway Resurfacing,7
I10,1.3.4,Roadway,Roadway Resurfacing,Bowen Street,,Resurfacing from Howell Mill Road to Old Chattahoochee Avenue,Low,"$60,200",0%,,"$60,200",NW,,NW,,,1.000,"$60,200",,,,,,,,,,9,,,,,1.000,"$60,200",D,,,,,Underwood Hills,Berkeley,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
C18,1.3.4,Roadway,Roadway Resurfacing,Carroll Drive,,Resurfacing from Chattahoochee Avenue to Marietta Road,Low,"$137,600",0%,,"$137,600",NW,,NW,,,1.000,"$137,600",,,,,,,,,,9,,,,,1.000,"$137,600",D,,,,,Hills Park,,,,,,,,,,,,,,Carroll Drive,,,,Low Roadway Resurfacing,8
C20,1.3.4,Roadway,Roadway Resurfacing,Chattahoochee Avenue,,Resurfacing from Howell Mill Road to Marietta Boulevard,Low,"$398,900",0%,,"$398,900",NW,,NW,,,1.000,"$398,900",,,,,,,,,,9,,,,,1.000,"$398,900",D,,,,,Hills Park,Bolton,Underwood Hills,Blandtown,Berkeley,,,,,,,,,,Chattahoochee Avenue,,,,Low Roadway Resurfacing,8
I11,1.3.4,Roadway,Roadway Resurfacing,Chattahoochee Avenue,,Resurfacing from Marietta Boulevard to La Dawn Lane,Low,"$175,000",0%,,"$175,000",NW,,NW,,,1.000,"$175,000",,,,,,,,,,9,,,,,1.000,"$175,000",D,,,,,Hills Park,Bolton,,,,,,,,,,,,,Chattahoochee Avenue,,,,Low Roadway Resurfacing,8
I12,1.3.4,Roadway,Roadway Resurfacing,Defoor Hills Road,,Resurfacing from Collier Road to Dead End,Low,"$232,100",0%,,"$232,100",NW,,NW,,,1.000,"$232,100",,,,,,,,,,9,,,,,1.000,"$232,100",D,,,,,Underwood Hills,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
C42,1.3.4,Roadway,Roadway Resurfacing,Hollywood Road,,Resurfacing from Bolton Road to Donald L. Hollowell Parkway,Low,"$957,400",0%,,"$957,400",NW,,NW,,,1.000,"$957,400",,,,,,,,,,9,,,,,1.000,"$957,400",D,G,,,,Riverside,Scotts Crossing,Carver Hills,Carey Park,Almond Park,Grove Park,,,,,,,,,Hollywood Road,,,,Low Roadway Resurfacing,8
I14,1.3.4,Roadway,Roadway Resurfacing,Logan Circle,,Resurfacing from Chattahoochee Avenue to Chattahoochee Avenue,Low,"$277,600",0%,,"$277,600",NW,,NW,,,1.000,"$277,600",,,,,,,,,,9,,,,,1.000,"$277,600",D,,,,,Underwood Hills,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
R9,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 9,,Resurfacing projects in Council District 9.,low,"$3,287,500",0%,,"$3,287,500",NW,,NW,,,1.000,"$3,287,500",,,,,,,,,,9,,,,,1.000,"$3,287,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,low Roadway Resurfacing,8
I19,1.3.4,Roadway,Roadway Resurfacing,Plymouth Road,,Resurfacing from Chattahoochee Avenue to Marietta Boulevard,Low,"$112,900",0%,,"$112,900",NW,,NW,,,1.000,"$112,900",,,,,,,,,,9,,,,,1.000,"$112,900",D,,,,,Hills Park,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
I20,1.3.4,Roadway,Roadway Resurfacing,Southland Circle,,Resurfacing from Carroll Drive to Chattahoochee Avenue,Low,"$182,600",0%,,"$182,600",NW,,NW,,,1.000,"$182,600",,,,,,,,,,9,,,,,1.000,"$182,600",D,,,,,Hills Park,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
C82,1.3.4,Roadway,Roadway Resurfacing,West Wieuca Road,,Resurfacing from Loridans Drive to Lake Forrest Drive,Medium,"$287,200",0%,,"$287,200",NW,,NW,,,1.000,"$287,200",,,,,,,,7,8,,,,,,0.500,"$143,600",B,,,,,East Chastain Park,North Buckhead,,,,,,,,,,,,,West Wieuca Road,,,,Medium Roadway Resurfacing,6
R5,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 5,,Resurfacing projects in Council District 5.,High,"$1,450,000",0%,,"$1,450,000","NE, SE",NE,,SE,,0.500,"$725,000",,,,,,5,,,,,,,,,1.000,"$1,450,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,5
R6,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 6,,Resurfacing projects in Council District 6.,High,"$1,487,500",0%,,"$1,487,500",NE,NE,,,,1.000,"$1,487,500",,,,,,,6,,,,,,,,1.000,"$1,487,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,4
R6,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 6,,Resurfacing projects in Council District 6.,High,"$1,487,500",0%,,"$1,487,500",NE,NE,,,,1.000,"$1,487,500",,,,,,,6,,,,,,,,1.000,"$1,487,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,5
R7,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 7,,Resurfacing projects in Council District 7.,high,"$1,887,500",0%,,"$1,887,500",NE,NE,,,,1.000,"$1,887,500",,,,,,,,7,,,,,,,1.000,"$1,887,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,4
R8,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 8,,Resurfacing projects in Council District 8.,Medium,"$2,600,000",0%,,"$2,600,000",NW,,NW,,,1.000,"$2,600,000",,,,,,,,,8,,,,,,1.000,"$2,600,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,3
R8,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 8,,Resurfacing projects in Council District 8.,Medium,"$2,600,000",0%,,"$2,600,000",NW,,NW,,,1.000,"$2,600,000",,,,,,,,,8,,,,,,1.000,"$2,600,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,4
R8,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 8,,Resurfacing projects in Council District 8.,Medium,"$2,600,000",0%,,"$2,600,000",NW,,NW,,,1.000,"$2,600,000",,,,,,,,,8,,,,,,1.000,"$2,600,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,5
C29,1.3.4,Roadway,Roadway Resurfacing,East Andrews Drive,,Resurfacing from Roswell Road to West Paces Ferry Road,Medium,"$191,500",0%,,"$191,500",NE,NE,,,,1.000,"$191,500",,,,,,,,,8,,,,,,1.000,"$191,500",B,,,,,South Tuxedo Park,,,,,,,,,,,,,,East Andrews Drive,,,,Medium Roadway Resurfacing,6
R8,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 8,,Resurfacing projects in Council District 8.,low,"$2,600,000",0%,,"$2,600,000",NW,,NW,,,1.000,"$2,600,000",,,,,,,,,8,,,,,,1.000,"$2,600,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,low Roadway Resurfacing,6
R8,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 8,,Resurfacing projects in Council District 8.,low,"$2,600,000",0%,,"$2,600,000",NW,,NW,,,1.000,"$2,600,000",,,,,,,,,8,,,,,,1.000,"$2,600,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,low Roadway Resurfacing,7
C34,1.3.4,Roadway,Roadway Resurfacing,Garmon Road,,Resurfacing from Mount Paran Road to City Limits,Low,"$179,500",0%,,"$179,500",NW,,NW,,,1.000,"$179,500",,,,,,,,,8,,,,,,1.000,"$179,500",A,,,,,Mount Paran/Northside,,,,,,,,,,,,,,Garmon Road NW,,,,Low Roadway Resurfacing,8
C41,1.3.4,Roadway,Roadway Resurfacing,Hillside Drive,,Resurfacing from Powers Ferry Road to Northside Drive,Low,"$160,000",0%,,"$160,000",NW,,NW,,,1.000,"$160,000",,,,,,,,,8,,,,,,1.000,"$160,000",A,,,,,Chastain Park,,,,,,,,,,,,,,Hillside Drive,,,,Low Roadway Resurfacing,8
C60,1.3.4,Roadway,Roadway Resurfacing,Mount Paran Road,,Resurfacing from City Limits to Paces Ferry Road,Low,"$8,676,000",0%,,"$8,676,000",NW,,NW,,,1.000,"$8,676,000",,,,,,,,,8,,,,,,1.000,"$8,676,000",A,,,,,Chastain Park,Mount Paran/ Northside,Paces,Pleasant Hill,,,,,,,,,,,Mount Paran Road,,,,Low Roadway Resurfacing,8
R8,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 8,,Resurfacing projects in Council District 8.,low,"$2,600,000",0%,,"$2,600,000",NW,,NW,,,1.000,"$2,600,000",,,,,,,,,8,,,,,,1.000,"$2,600,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,low Roadway Resurfacing,8
C72,1.3.4,Roadway,Roadway Resurfacing,Powers Ferry Road,,Resurfacing from Roswell Road to City Limits,Low,"$492,600",0%,,"$492,600","NE, NW",NE,NW,,,0.500,"$246,300",,,,,,,,,8,,,,,,1.000,"$492,600",A,,,,,Chastain Park ,Tuxedo Park,,,,,,,,,,,,,Powers Ferry Road,,,,Low Roadway Resurfacing,8
A5,1.3.4,Roadway,Roadway Resurfacing,Cheshire Bridge Road,,Resurfacing from Piedmont Road to Buford Highway,Low,"$572,400",0%,,"$572,400",NE,NE,,,,1.000,"$572,400",,,,,,,6,7,,,,,,,0.500,"$286,200",F,,,,,Morningside/Lenox Park,Lindridge/Martin Manor,,,,,,,,,,Cheshire Bridge Road,,,,,,,Low Roadway Resurfacing,3
R7,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 7,,Resurfacing projects in Council District 7.,High,"$1,887,500",0%,,"$1,887,500",NE,NE,,,,1.000,"$1,887,500",,,,,,,,7,,,,,,,1.000,"$1,887,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,5
R8,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 8,,Resurfacing projects in Council District 8.,High,"$2,600,000",0%,,"$2,600,000",NW,,NW,,,1.000,"$2,600,000",,,,,,,,,8,,,,,,1.000,"$2,600,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,4
R8,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 8,,Resurfacing projects in Council District 8.,High,"$2,600,000",0%,,"$2,600,000",NW,,NW,,,1.000,"$2,600,000",,,,,,,,,8,,,,,,1.000,"$2,600,000",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,5
148,1.3.2,Roadway,Roadway Resurfacing,Chelsey Lane,LMIG 2013,Final course of roadway construction from Old Ivy Road to cul-de-sac.,High,"$11,000",100%,,$0,NW,,NW,,,1.000,"$11,000",,,,,,,,7,,,,,,,1.000,$0,B,,,,,North Buckhead,,,,,,,,,,,,,,,,,,High Roadway Construction,1
R9,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 9,,Resurfacing projects in Council District 9.,high,"$3,287,500",0%,,"$3,287,500",NW,,NW,,,1.000,"$3,287,500",,,,,,,,,,9,,,,,1.000,"$3,287,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,4
R9,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 9,,Resurfacing projects in Council District 9.,High,"$3,287,500",0%,,"$3,287,500",NW,,NW,,,1.000,"$3,287,500",,,,,,,,,,9,,,,,1.000,"$3,287,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,High Roadway Resurfacing - neighborhood,5
I8,1.3.4,Roadway,Roadway Resurfacing,North Angier Avenue,,Resurfacing from North Avenue to Dead End,High,"$54,400",0%,,"$54,400",NE,NE,,,,1.000,"$54,400",,,2,,,,,,,,,,,,1.000,"$54,400",M,,,,,Old Fourth Ward,,,,,,,,,,,,,,,,,,High Roadway Resurfacing,3
C64,1.3.4,Roadway,Roadway Resurfacing,Northside Drive,,Resurfacing from Northside Parkway to City Limits,High,"$957,400",100%,,$0,NW,,NW,,,1.000,"$957,400",,,,,,,,,8,,,,,,1.000,$0,A,,,,,West Paces Ferry/Northside,Tuxedo Park,Kingswood,Mount Paran/Northside,Chastain Park,,,,,,,Northside Drive,,,,,,,High Roadway Resurfacing,2
R7,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 7,,Resurfacing projects in Council District 7.,Medium,"$1,887,500",0%,,"$1,887,500",NE,NE,,,,1.000,"$1,887,500",,,,,,,,7,,,,,,,1.000,"$1,887,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,3
R7,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 7,,Resurfacing projects in Council District 7.,Medium,"$1,887,500",0%,,"$1,887,500",NE,NE,,,,1.000,"$1,887,500",,,,,,,,7,,,,,,,1.000,"$1,887,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,4
A26,1.3.4,Roadway,Roadway Resurfacing,Peachtree Dunwoody Road,,Resurfacing from Roxboro Road to Meadowbrook Drive,Medium,"$606,300",0%,,"$606,300",NE,NE,,,,1.000,"$606,300",,,,,,,,7,,,,,,,1.000,"$606,300",B,,,,,Brookhaven,North Buckhead,,,,,,,,,,Peachtree Dunwoody Road,,,,,,,Medium Roadway Resurfacing,5
R7,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 7,,Resurfacing projects in Council District 7.,Medium,"$1,887,500",0%,,"$1,887,500",NE,NE,,,,1.000,"$1,887,500",,,,,,,,7,,,,,,,1.000,"$1,887,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,5
I32,1.3.4,Roadway,Roadway Resurfacing,Mayson Street,,Resurfacing from Dead End to Dead End,Medium,"$58,000",0%,,"$58,000",NE,NE,,,,1.000,"$58,000",,,,,,,,7,,,,,,,1.000,"$58,000",E,,,,,None,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,6
R7,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 7,,Resurfacing projects in Council District 7.,low,"$1,887,500",0%,,"$1,887,500",NE,NE,,,,1.000,"$1,887,500",,,,,,,,7,,,,,,,1.000,"$1,887,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,low Roadway Resurfacing,6
I36,1.3.4,Roadway,Roadway Resurfacing,Ottley  Drive,,Resurfacing from Armour Drive to Clayton Road,Medium,"$203,600",0%,,"$203,600",NE,NE,,,,1.000,"$203,600",,,,,,,,7,,,,,,,1.000,"$203,600",E,,,,,None,,,,,,,,,,,,,,,,,,Medium Roadway Resurfacing,6
R7,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 7,,Resurfacing projects in Council District 7.,low,"$1,887,500",0%,,"$1,887,500",NE,NE,,,,1.000,"$1,887,500",,,,,,,,7,,,,,,,1.000,"$1,887,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,low Roadway Resurfacing,7
I9,1.3.4,Roadway,Roadway Resurfacing,Armour Place,,Resurfacing from Plasters Way to Dead End,Low,"$29,100",0%,,"$29,100",NE,NE,,,,1.000,"$29,100",,,,,,,,7,,,,,,,1.000,"$29,100",F,,,,,None,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
A11,1.3.4,Roadway,Roadway Resurfacing,East Roxboro Road,,Resurfacing from West Roxboro Road to Wood Circle,Low,"$70,000",0%,,"$70,000",NE,NE,,,,1.000,"$70,000",,,,,,,,7,,,,,,,1.000,"$70,000",B,,,,,Pine Hills,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
C53,1.3.4,Roadway,Roadway Resurfacing,Lenox Road,,Resurfacing from Peachtree Road to Buford Highway,Low,"$969,300",0%,,"$969,300",NE,NE,,,,1.000,"$969,300",,,,,,,,7,,,,,,,1.000,"$969,300",B,,,,,Pine Hills,Lenox,,,,,,,,,,,,,Lenox Road,,,,Low Roadway Resurfacing,8
C54,1.3.4,Roadway,Roadway Resurfacing,Loridans Drive,,Resurfacing from Peachtree Dunwoody Road to Wieuca Road,Low,"$265,300",0%,,"$265,300",NE,NE,,,,1.000,"$265,300",,,,,,,,7,,,,,,,1.000,"$265,300",B,,,,,North Buckhead,,,,,,,,,,,,,,Loridans Drive,,,,Low Roadway Resurfacing,8
R7,1.3.4,Roadway,Roadway Resurfacing,Neighborhood Resurfacing Projects in Council District 7,,Resurfacing projects in Council District 7.,Low,"$1,887,500",0%,,"$1,887,500",NE,NE,,,,1.000,"$1,887,500",,,,,,,,7,,,,,,,1.000,"$1,887,500",Undesignated,,,,,,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
C69,1.3.4,Roadway,Roadway Resurfacing,Pharr Road,,Resurfacing from Peachtree Road to Piedmont Road,Low,"$388,900",0%,,"$388,900",NE,NE,,,,1.000,"$388,900",,,,,,,,7,,,,,,,1.000,"$388,900",B,,,,,Garden Hills,Buckhead Village,,,,,,,,,,,,,Pharr Road,,,,Low Roadway Resurfacing,8
I16,1.3.4,Roadway,Roadway Resurfacing,Plasamour Drive,,Resurfacing from Plasters Avenue to Plasters Way,Low,"$66,700",0%,,"$66,700",NE,NE,,,,1.000,"$66,700",,,,,,,,7,,,,,,,1.000,"$66,700",F,,,,,None,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
I17,1.3.4,Roadway,Roadway Resurfacing,Plasters Avenue,,Resurfacing from Plasamour Drive to Dead End,Low,"$322,700",0%,,"$322,700",NE,NE,,,,1.000,"$322,700",,,,,,,,7,,,,,,,1.000,"$322,700",F,,,,,None,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
I18,1.3.4,Roadway,Roadway Resurfacing,Plasters Way,,Resurfacing from Armour Drive to Plasamour Drive,Low,"$19,400",0%,,"$19,400",NE,NE,,,,1.000,"$19,400",,,,,,,,7,,,,,,,1.000,"$19,400",F,,,,,None,,,,,,,,,,,,,,,,,,Low Roadway Resurfacing,8
